.1.3.6.1.2.1.1.1.0 Hardware: Intel64 Family 6 Model 85 Stepping 4 AT/AT COMPATIBLE - Software: Windows Version 6.3 (Build 14393 Multiprocessor Free)
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.311.1.1.3.1.2
.1.3.6.1.2.1.2.2.1.7.25 1
.1.3.6.1.2.1.2.2.1.7.26 1
.1.3.6.1.2.1.2.2.1.7.27 1
.1.3.6.1.2.1.2.2.1.7.28 1
.1.3.6.1.2.1.2.2.1.7.29 1
.1.3.6.1.2.1.2.2.1.7.30 1
.1.3.6.1.2.1.2.2.1.7.31 1
.1.3.6.1.2.1.2.2.1.7.32 1
.1.3.6.1.2.1.2.2.1.8.1 1
.1.3.6.1.2.1.2.2.1.8.2 6
.1.3.6.1.2.1.2.2.1.8.3 6
.1.3.6.1.2.1.2.2.1.8.4 6
.1.3.6.1.2.1.2.2.1.8.5 6
.1.3.6.1.2.1.2.2.1.8.6 6
.1.3.6.1.2.1.2.2.1.8.7 1
.1.3.6.1.2.1.2.2.1.8.8 6
.1.3.6.1.2.1.2.2.1.8.9 2
.1.3.6.1.2.1.2.2.1.8.10 1
.1.3.6.1.2.1.2.2.1.8.11 6
.1.3.6.1.2.1.2.2.1.8.12 6
.1.3.6.1.2.1.2.2.1.8.13 6
.1.3.6.1.2.1.2.2.1.8.14 6
.1.3.6.1.2.1.2.2.1.8.15 6
.1.3.6.1.2.1.2.2.1.8.16 1
.1.3.6.1.2.1.2.2.1.8.17 1
.1.3.6.1.2.1.2.2.1.8.18 1
.1.3.6.1.2.1.2.2.1.8.19 1
.1.3.6.1.2.1.2.2.1.8.20 1
.1.3.6.1.2.1.2.2.1.8.21 1
.1.3.6.1.2.1.2.2.1.8.22 2
.1.3.6.1.2.1.2.2.1.8.23 1
.1.3.6.1.2.1.2.2.1.8.24 2
.1.3.6.1.2.1.2.2.1.8.25 1
.1.3.6.1.2.1.2.2.1.8.26 1
.1.3.6.1.2.1.2.2.1.8.27 1
.1.3.6.1.2.1.2.2.1.8.28 2
.1.3.6.1.2.1.2.2.1.8.29 1
.1.3.6.1.2.1.2.2.1.8.30 2
.1.3.6.1.2.1.2.2.1.8.31 1
.1.3.6.1.2.1.2.2.1.8.32 1
.1.3.6.1.2.1.2.2.1.9.1 0
.1.3.6.1.2.1.2.2.1.9.2 0
.1.3.6.1.2.1.2.2.1.9.3 0
.1.3.6.1.2.1.2.2.1.9.4 0
.1.3.6.1.2.1.2.2.1.9.5 0
.1.3.6.1.2.1.2.2.1.9.6 0
.1.3.6.1.2.1.2.2.1.9.7 0
.1.3.6.1.2.1.2.2.1.9.8 0
.1.3.6.1.2.1.2.2.1.9.9 0
.1.3.6.1.2.1.2.2.1.9.10 0
.1.3.6.1.2.1.2.2.1.9.11 0
.1.3.6.1.2.1.2.2.1.9.12 0
.1.3.6.1.2.1.2.2.1.9.13 0
.1.3.6.1.2.1.2.2.1.9.14 0
.1.3.6.1.2.1.2.2.1.9.15 0
.1.3.6.1.2.1.2.2.1.9.16 0
.1.3.6.1.2.1.2.2.1.9.17 0
.1.3.6.1.2.1.2.2.1.9.18 0
.1.3.6.1.2.1.2.2.1.9.19 0
.1.3.6.1.2.1.2.2.1.9.20 0
.1.3.6.1.2.1.2.2.1.9.21 0
.1.3.6.1.2.1.2.2.1.9.22 0
.1.3.6.1.2.1.2.2.1.9.23 0
.1.3.6.1.2.1.2.2.1.9.24 0
.1.3.6.1.2.1.2.2.1.9.25 0
.1.3.6.1.2.1.2.2.1.9.26 0
.1.3.6.1.2.1.2.2.1.9.27 0
.1.3.6.1.2.1.2.2.1.9.28 0
.1.3.6.1.2.1.2.2.1.9.29 0
.1.3.6.1.2.1.2.2.1.9.30 0
.1.3.6.1.2.1.2.2.1.9.31 0
.1.3.6.1.2.1.2.2.1.9.32 0
.1.3.6.1.2.1.2.2.1.10.1 0
.1.3.6.1.2.1.2.2.1.10.2 0
.1.3.6.1.2.1.2.2.1.10.3 0
.1.3.6.1.2.1.2.2.1.10.4 0
.1.3.6.1.2.1.2.2.1.10.5 0
.1.3.6.1.2.1.2.2.1.10.6 0
.1.3.6.1.2.1.2.2.1.10.7 3464486919
.1.3.6.1.2.1.2.2.1.10.8 0
.1.3.6.1.2.1.2.2.1.10.9 0
.1.3.6.1.2.1.2.2.1.10.10 2948039246
.1.3.6.1.2.1.2.2.1.10.11 0
.1.3.6.1.2.1.2.2.1.10.12 0
.1.3.6.1.2.1.2.2.1.10.13 0
